Id,Male,Age,Debt,Married,BankCustomer,EducationLevel,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,Citizen,Income,Category
0,1,30.83,0,1,0,12,7,1.25,1,1,1,0,0,0
1,0,58.67,4.46,1,0,10,3,3.04,1,1,6,0,560,0
3,1,27.83,1.54,1,0,12,7,3.75,1,1,5,0,3,0
4,1,20.17,5.625,1,0,12,7,1.71,1,0,0,2,0,0
5,1,32.08,4,1,0,9,7,2.5,1,0,0,0,0,0
7,0,22.92,11.585,1,0,2,7,0.04,1,0,0,0,1349,0
8,1,54.42,0.5,2,2,8,3,3.96,1,0,0,0,314,0
9,1,42.5,4.915,2,2,12,7,3.165,1,0,0,0,1442,0
11,1,29.92,1.835,1,0,1,3,4.335,1,0,0,0,200,0
12,0,38.25,6,1,0,8,7,1,1,0,0,0,0,0
13,1,48.08,6.04,1,0,8,7,0.04,0,0,0,0,2690,0
14,0,45.83,10.5,1,0,10,7,5,1,1,7,0,0,0
15,1,36.67,4.415,2,2,8,7,0.25,1,1,10,0,0,0
16,1,28.25,0.875,1,0,9,7,0.96,1,1,3,0,0,0
17,0,23.25,5.875,1,0,10,7,3.17,1,1,10,0,245,0
19,0,19.17,8.585,1,0,2,3,0.75,1,1,7,0,0,0
20,1,25,11.25,1,0,1,7,2.5,1,1,17,0,1208,0
21,1,23.25,1,1,0,1,7,0.835,1,0,0,2,0,0
22,0,47.75,8,1,0,1,7,7.875,1,1,6,0,1260,0
23,0,27.42,14.5,1,0,13,3,3.085,1,1,1,0,11,0
25,0,15.83,0.585,1,0,1,3,1.5,1,1,2,0,0,0
26,0,47,13,1,0,6,0,5.165,1,1,9,0,0,0
27,1,56.58,18.5,1,0,3,0,15,1,1,17,0,0,0
28,1,57.42,8.5,1,0,4,3,7,1,1,3,0,0,0
29,1,42.08,1.04,1,0,12,7,5,1,1,6,0,10000,0
32,1,49.5,7.585,1,0,6,0,7.585,1,1,15,0,5000,0
33,0,36.75,5.125,1,0,4,7,5,1,0,0,0,4000,0
34,0,22.58,10.75,1,0,10,7,0.415,1,1,5,0,560,0
35,1,27.83,1.5,1,0,12,7,2,1,1,11,0,35,0
36,1,27.25,1.585,1,0,2,3,1.835,1,1,12,0,713,0
37,0,23,11.75,1,0,13,3,0.5,1,1,2,0,551,0
38,1,27.75,0.585,2,2,2,7,0.25,1,1,2,0,500,0
40,1,34.17,9.17,1,0,1,7,4.5,1,1,12,0,221,0
42,1,29.67,1.415,1,0,12,3,0.75,1,1,1,0,100,0
43,1,39.58,13.915,1,0,12,7,8.625,1,1,6,0,0,0
45,1,54.33,6.75,1,0,1,3,2.625,1,1,11,0,284,0
46,0,41,2.04,2,2,10,3,0.125,1,1,23,0,1236,0
47,1,31.92,4.46,1,0,2,3,6.04,1,1,3,0,300,0
48,1,41.5,1.54,1,0,6,0,3.5,0,0,0,0,0,0
50,0,25.75,0.5,1,0,1,3,0.875,1,0,0,0,0,0
52,1,37.42,2.04,1,0,12,7,0.04,1,0,0,0,5800,0
53,1,34.92,2.5,1,0,12,7,0,1,0,0,0,200,0
57,1,44.33,0.5,1,0,6,3,5,1,0,0,0,0,0
58,1,35.17,4.5,1,0,13,3,5.75,0,0,0,2,0,0
59,1,43.25,3,1,0,10,3,6,1,1,11,0,0,0
61,1,31.67,16.165,1,0,3,7,3,1,1,9,0,730,0
62,0,23.42,0.79,2,2,10,7,1.5,1,1,2,0,400,0
64,1,26.67,4.25,1,0,2,7,4.29,1,1,1,0,0,0
66,0,36,1,1,0,1,7,2,1,1,11,0,456,0
67,1,25.5,0.375,1,0,9,7,0.25,1,1,3,0,15108,0
68,1,19.42,6.5,1,0,12,3,1.46,1,1,7,0,2954,0
71,1,34.83,4,1,0,3,0,12.5,1,0,0,0,0,1
73,1,44.25,0.5,1,0,9,7,10.75,1,0,0,2,0,1
74,1,44.83,7,2,2,1,7,1.625,0,0,0,0,2,1
75,1,20.67,5.29,1,0,10,7,0.375,1,1,1,0,0,1
79,1,21.5,9.75,1,0,1,7,0.25,1,0,0,0,0,1
80,1,49.58,19,1,0,5,2,0,1,1,1,0,0,1
83,0,31.56817109,3.5,1,0,3,7,3,1,0,0,0,0,1
84,1,27.25,0.625,1,0,0,7,0.455,1,0,0,0,0,1
85,1,37.17,4,1,0,1,0,5,1,0,0,2,0,1
87,1,25.67,2.21,2,2,0,7,4,1,0,0,0,0,1
88,1,34,4.5,1,0,0,7,1,1,0,0,0,0,1
89,0,49,1.5,1,0,7,4,0,1,0,0,0,27,1
91,1,31.42,15.5,1,0,1,7,0.5,1,0,0,0,0,1
92,1,31.56817109,5,2,2,0,7,8.5,1,0,0,0,0,1
93,1,52.33,1.375,2,2,1,3,9.46,1,0,0,0,100,1
94,1,28.75,1.5,2,2,1,7,1.5,1,0,0,0,225,1
95,0,28.58,3.54,1,0,6,0,0.5,1,0,0,0,0,1
96,1,23,0.625,2,2,0,7,0.125,1,0,0,0,1,1
97,1,31.56817109,0.5,1,0,1,0,0.835,1,0,0,2,0,1
98,0,22.5,11,2,2,10,7,3,1,0,0,0,0,1
99,0,28.5,1,1,0,10,7,1,1,1,2,0,500,1
100,1,37.5,1.75,2,2,1,0,0.25,1,0,0,0,400,1
102,1,18.67,5,1,0,10,7,0.375,1,1,2,0,38,1
103,1,25,12,1,0,8,7,2.25,1,1,2,0,5,1
104,1,27.83,4,2,2,6,3,5.75,1,1,2,0,0,1
105,1,54.83,15.5,1,0,4,8,0,1,1,20,0,130,1
106,1,28.75,1.165,1,0,8,7,0.5,1,0,0,2,0,1
107,0,25,11,2,2,0,7,4.5,1,0,0,0,0,1
111,0,24.5,1.04,2,2,5,2,0.5,1,1,3,0,147,1
112,1,24.58,12.5,1,0,12,7,0.875,1,0,0,0,0,1
113,0,33.75,0.75,1,0,8,0,1,1,1,3,0,0,1
114,1,20.67,1.25,2,2,1,3,1.375,1,1,3,0,210,1
115,0,25.42,1.125,1,0,10,7,1.29,1,1,2,0,0,1
116,1,37.75,7,1,0,10,3,11.5,1,1,7,0,5,1
117,1,52.5,6.5,1,0,8,7,6.29,1,1,15,0,11202,0
119,0,20.75,10.335,1,0,2,3,0.335,1,1,1,0,50,0
121,1,25.67,12.5,1,0,2,7,1.21,1,1,67,0,258,0
122,0,24.75,12.5,1,0,0,7,1.5,1,1,12,0,567,0
123,0,44.17,6.665,1,0,10,7,7.375,1,1,3,0,0,0
124,0,23.5,9,1,0,10,7,8.5,1,1,5,0,0,0
125,1,34.92,5,1,0,13,3,7.5,1,1,6,0,1000,0
126,1,47.67,2.5,1,0,9,0,2.5,1,1,12,0,2510,0
127,1,22.75,11,1,0,10,7,2.5,1,1,7,0,809,0
128,1,34.42,4.25,1,0,6,0,3.25,1,1,2,0,610,0
129,0,28.42,3.5,1,0,12,7,0.835,1,0,0,2,0,0
130,1,67.75,5.5,1,0,4,8,13,1,1,1,0,0,0
134,1,32.67,5.5,1,0,10,3,5.5,1,1,12,0,1000,0
137,1,33.58,2.75,1,0,9,7,4.25,1,1,6,0,0,0
138,0,18.83,9.5,1,0,12,7,1.625,1,1,6,0,600,0
139,0,26.92,13.5,1,0,10,3,5,1,1,2,0,5000,0
140,0,31.25,3.75,1,0,2,3,0.625,1,1,9,0,0,0
141,0,56.5,16,1,0,7,2,0,1,1,15,0,247,0
142,1,43,0.29,2,2,2,3,1.75,1,1,8,0,375,0
143,1,22.33,11,1,0,12,7,2,1,1,1,0,278,0
144,1,27.25,1.665,1,0,2,3,5.085,1,1,9,0,827,0
146,1,23.25,1.5,1,0,10,7,2.375,1,1,3,0,582,0
147,0,40.33,7.54,2,2,10,3,8,1,1,14,0,2300,0
149,0,52.83,15,1,0,1,7,5.5,1,1,14,0,2200,0
150,0,46.67,0.46,1,0,2,3,0.415,1,1,11,0,6,0
151,0,58.33,10,1,0,10,7,4,1,1,14,0,1602,0
152,1,37.33,6.5,1,0,9,3,4.25,1,1,12,0,0,0
153,1,23.08,2.5,1,0,1,7,1.085,1,1,11,0,2184,0
154,1,32.75,1.5,1,0,2,3,5.5,1,1,3,0,0,0
156,0,28.5,3.04,2,2,13,3,2.54,1,1,1,0,0,0
157,0,68.67,15,1,0,4,8,0,1,1,14,0,3376,0
159,1,34.08,0.08,2,2,9,0,0.04,1,1,1,0,2000,0
160,1,27.67,2,1,0,13,3,1,1,1,4,0,7544,0
161,1,44,2,1,0,9,7,1.75,1,1,2,0,15,0
162,1,25.08,1.71,1,0,13,7,1.665,1,1,1,0,20,0
163,1,32,1.75,2,2,4,3,0.04,1,0,0,0,0,0
166,1,19.33,9.5,1,0,10,7,1,1,0,0,0,400,0
167,0,32.33,0.54,1,0,2,7,0.04,1,0,0,0,11177,0
168,1,36.67,3.25,1,0,10,3,9,1,0,0,0,639,0
169,1,37.5,1.125,2,2,3,7,1.5,0,0,0,0,0,0
170,0,25.08,2.54,2,2,0,7,0.25,1,0,0,0,0,0
171,1,41.33,0,1,0,1,0,15,1,0,0,0,0,0
172,1,56,12.5,1,0,8,3,8,1,0,0,0,2028,0
173,0,49.83,13.585,1,0,8,3,8.5,1,0,0,0,0,0
174,1,22.67,10.5,1,0,10,3,1.335,1,0,0,0,0,0
175,1,27,1.5,2,2,12,7,0.375,1,0,0,0,1065,0
177,0,26.08,8.665,1,0,0,7,1.415,1,0,0,0,150,0
178,0,18.42,9.25,1,0,10,7,1.21,1,1,4,0,540,0
179,1,20.17,8.17,1,0,0,7,1.96,1,1,14,0,158,0
180,1,47.67,0.29,1,0,1,0,15,1,1,20,0,15000,0
181,0,21.25,2.335,1,0,6,0,0.5,1,1,4,2,0,0
183,0,57.08,19.5,1,0,1,7,5.5,1,1,7,0,3000,0
184,0,22.42,5.665,1,0,10,7,2.585,1,1,7,0,3257,0
185,1,48.75,8.5,1,0,1,3,12.5,1,1,9,0,1655,0
186,1,40,6.5,1,0,0,0,3.5,1,1,1,0,500,0
187,1,40.58,5,1,0,1,7,5,1,1,7,0,3065,0
188,0,28.67,1.04,1,0,1,7,2.5,1,1,5,0,1430,0
189,0,33.08,4.625,1,0,10,3,1.625,1,1,2,0,0,0
190,1,21.33,10.5,1,0,1,7,3,1,0,0,0,0,0
191,1,42,0.205,1,0,6,3,5.125,1,0,0,0,0,0
193,1,22.67,1.585,2,2,12,7,3.085,1,1,6,0,0,0
194,1,34.5,4.04,2,2,6,0,8.5,1,1,7,0,0,0
195,1,28.25,5.04,2,2,1,0,1.5,1,1,8,0,7,0
196,1,33.17,3.165,2,2,13,7,3.165,1,1,3,0,0,0
197,1,48.17,7.625,1,0,12,3,15.5,1,1,12,0,790,0
198,1,27.58,2.04,2,2,0,7,2,1,1,3,0,560,0
200,0,24.08,0.5,1,0,10,3,1.25,1,1,1,0,678,0
201,0,41.33,1,1,0,6,0,2.25,1,0,0,0,300,0
202,1,24.83,2.75,1,0,1,7,2.25,1,1,6,0,600,0
203,0,20.75,10.25,1,0,10,7,0.71,1,1,2,0,0,0
204,1,36.33,2.125,2,2,12,7,0.085,1,1,1,0,1187,0
205,0,35.42,12,1,0,10,3,14,1,1,8,0,6590,0
206,0,71.58,0,1,0,1,7,0,0,0,0,1,0,0
207,1,28.67,9.335,1,0,10,3,5.665,1,1,6,0,168,0
208,1,35.17,2.5,1,0,8,7,4.5,1,1,7,0,1270,0
209,1,39.5,4.25,1,0,1,0,6.5,1,1,16,0,1210,0
214,1,26.67,2.71,2,2,2,7,5.25,1,1,1,0,0,0
215,1,48.17,3.5,1,0,0,7,3.5,1,0,0,2,0,0
216,1,41.17,4.04,1,0,2,3,7,1,1,8,0,0,0
217,1,55.92,11.5,1,0,5,2,5,1,1,5,0,8851,0
219,0,18.92,9.25,2,2,1,7,1,1,1,4,0,500,0
221,1,65.42,11,1,0,4,8,20,1,1,7,0,0,0
222,0,17.58,9,1,0,0,7,1.375,1,0,0,0,0,0
224,0,37.75,5.5,1,0,10,7,0.125,1,0,0,0,0,0
225,1,23.25,4,1,0,1,0,0.25,1,0,0,0,0,0
226,1,18.08,5.5,1,0,8,7,0.5,1,0,0,0,0,0
228,1,19.67,0.375,1,0,10,7,2,1,1,2,0,0,0
229,1,22.08,11,1,0,2,7,0.665,1,0,0,0,0,0
230,1,25.17,3.5,1,0,2,7,0.625,1,1,7,0,7059,0
232,1,33.5,1.75,1,0,13,3,4.5,1,1,4,0,857,0
233,1,27.67,13.75,1,0,12,7,5.75,1,0,0,0,500,0
234,0,58.42,21,1,0,6,0,10,1,1,13,0,6700,0
236,1,26.17,0.25,1,0,6,0,0,1,0,0,0,0,0
237,1,21.33,7.5,1,0,0,7,1.415,1,1,1,0,9800,0
238,1,42.83,4.625,1,0,10,7,4.58,1,0,0,2,0,0
239,1,38.17,10.125,1,0,13,7,2.5,1,1,6,0,196,0
240,1,20.5,10,2,2,1,7,2.5,1,0,0,2,0,0
241,1,48.25,25.085,1,0,12,7,1.75,1,1,3,0,14,0
242,1,28.33,5,1,0,12,7,11,1,0,0,0,0,0
243,0,18.75,7.5,1,0,10,7,2.71,1,1,5,0,26726,0
245,1,33.17,3.04,2,2,1,3,2.04,1,1,1,0,18027,0
246,1,45,8.5,1,0,2,3,14,1,1,1,0,2000,0
251,1,41.42,5,1,0,10,3,5,1,1,6,0,0,0
252,0,17.83,11,1,0,13,3,1,1,1,11,0,3000,0
253,1,23.17,11.125,1,0,13,3,0.46,1,1,1,0,0,0
254,1,31.56817109,0.625,1,0,8,7,0.25,0,0,0,0,2010,1
255,1,18.17,10.25,1,0,1,3,1.085,0,0,0,0,13,1
258,0,20.75,9.54,1,0,6,7,0.04,0,0,0,0,1000,1
259,0,24.5,1.75,2,2,1,7,0.165,0,0,0,0,0,1
260,1,32.75,2.335,1,0,3,3,5.75,0,0,0,0,0,1
261,0,52.17,0,2,2,5,2,0,0,0,0,0,0,1
262,0,48.17,1.335,1,0,6,6,0.335,0,0,0,0,120,1
263,0,20.42,10.5,2,2,13,3,0,0,0,0,0,32,1
265,1,17.08,0.085,2,2,1,7,0.04,0,0,0,0,722,1
266,1,18.33,1.21,2,2,4,1,0,0,0,0,0,0,1
267,0,32,6,1,0,3,7,1.25,0,0,0,0,0,1
268,1,59.67,1.54,1,0,10,7,0.125,1,0,0,0,0,0
269,1,18,0.165,1,0,10,5,0.21,0,0,0,0,40,0
270,1,37.58,0,1,0,1,7,0,0,0,0,1,0,0
271,1,32.33,2.5,1,0,1,7,1.25,0,0,0,0,0,1
272,1,18.08,6.75,2,2,9,7,0.04,0,0,0,0,0,1
273,1,38.25,10.125,2,2,8,7,0.125,0,0,0,0,0,1
274,1,30.67,2.5,1,0,2,3,2.25,0,0,0,2,0,1
275,1,18.58,5.71,1,0,3,7,0.54,0,0,0,0,0,1
276,0,19.17,5.415,1,0,6,3,0.29,0,0,0,0,484,1
279,1,16.25,0.835,1,0,9,7,0.085,1,0,0,2,0,1
280,1,21.17,0.875,2,2,1,3,0.25,0,0,0,0,204,1
282,1,17.67,4.46,1,0,1,7,0.25,0,0,0,2,0,1
283,0,16.5,1.25,1,0,10,7,0.25,0,1,1,0,98,1
285,1,17.58,10,1,0,12,3,0.165,0,1,1,0,1,1
287,1,29.5,0.58,1,0,12,7,0.29,0,1,1,0,2803,1
288,1,18.83,0.415,2,2,1,7,0.165,0,1,1,0,1,1
290,1,23,0.75,1,0,9,7,0.5,0,0,0,2,0,1
291,0,18.25,10,1,0,12,7,1,0,1,1,0,1,1
293,1,35.75,2.415,1,0,12,7,0.125,0,1,2,0,1,1
295,0,31.92,3.125,1,0,5,2,3.04,0,1,2,0,4,1
297,1,32.92,2.5,1,0,0,7,1.75,0,1,2,0,0,1
298,1,16.33,2.75,1,0,0,7,0.665,0,1,1,0,21,1
299,1,22.17,12.125,1,0,1,7,3.335,0,1,2,0,173,1
300,0,57.58,2,1,0,5,2,6.5,0,1,1,0,10,1
301,1,18.25,0.165,1,0,3,7,0.25,0,0,0,2,0,1
303,0,15.92,2.875,1,0,10,7,0.085,0,0,0,0,0,1
304,0,24.75,13.665,1,0,10,3,1.5,0,0,0,0,1,1
305,1,48.75,26.335,2,2,5,2,0,1,0,0,0,0,1
306,1,23.5,2.75,1,0,5,2,4.5,0,0,0,0,25,1
307,1,18.58,10.29,1,0,5,2,0.415,0,0,0,0,0,1
308,1,27.75,1.29,1,0,8,3,0.25,0,0,0,2,0,1
309,0,31.75,3,2,2,7,4,0,0,0,0,0,20,1
311,1,19,1.75,2,2,1,7,2.335,0,0,0,0,6,1
312,0,16.33,0.21,1,0,0,7,0.125,0,0,0,0,1,1
313,0,18.58,10,1,0,3,7,0.415,0,0,0,0,42,1
315,1,23,0.75,1,0,9,7,0.5,1,0,0,2,0,1
316,1,21.17,0.25,2,2,1,3,0.25,0,0,0,0,204,1
317,1,17.5,22,0,1,5,6,0,0,0,0,1,100000,0
319,1,36.75,0.125,2,2,1,7,1.5,0,0,0,0,113,0
322,0,33.67,0.375,1,0,2,7,0.375,0,0,0,0,44,0
323,1,48.58,0.205,2,2,8,7,0.25,1,1,11,0,2732,0
324,1,33.67,1.25,1,0,12,7,1.165,0,0,0,0,0,1
325,0,29.5,1.085,2,2,13,7,1,0,0,0,0,13,1
326,1,30.17,1.085,2,2,1,7,0.04,0,0,0,0,179,1
328,1,34.83,2.5,2,2,12,7,3,0,0,0,2,0,1
329,1,31.56817109,4,2,2,6,7,0.085,0,0,0,0,0,1
330,1,20.42,0,1,0,1,7,0,0,0,0,1,0,1
331,0,33.25,2.5,2,2,1,7,2.5,0,0,0,0,2,1
332,1,34.08,2.5,1,0,1,7,1,0,0,0,0,16,1
337,0,34.83,1.25,2,2,6,3,0.5,0,0,0,0,0,1
338,0,33.25,3,2,2,0,7,2,0,0,0,0,0,1
339,1,28,3,1,0,12,7,0.75,0,0,0,0,67,1
340,0,39.08,4,1,0,1,7,3,0,0,0,0,0,1
343,1,33.75,2.75,1,0,6,0,0,0,0,0,0,0,1
344,1,38.92,1.75,1,0,8,7,0.5,0,0,0,0,2,1
345,1,62.75,7,1,0,4,8,0,0,0,0,0,12,1
346,1,32.25,1.5,1,0,1,7,0.25,0,0,0,0,122,1
347,1,26.75,4.5,2,2,1,0,2.5,0,0,0,0,1210,1
348,1,63.33,0.54,1,0,1,7,0.585,1,1,3,0,0,1
349,1,27.83,1.5,1,0,12,7,2.25,0,1,1,0,3,1
350,0,26.17,2,1,0,7,4,0,0,0,0,0,1,1
351,1,22.17,0.585,2,2,5,2,0,0,0,0,0,0,1
352,1,22.5,11.5,2,2,9,7,1.5,0,0,0,0,4000,1
357,0,19.5,0.165,1,0,10,7,0.04,0,0,0,0,0,1
358,1,32.42,3,1,0,3,7,0.165,0,0,0,0,0,1
359,0,36.75,4.71,1,0,5,2,0,0,0,0,0,0,1
362,1,26.83,0.54,1,0,8,2,0,0,0,0,0,0,1
363,1,16.92,0.335,2,2,8,7,0.29,0,0,0,2,0,1
